query,type,page
kauai shores hotel,brand,/
kauai shores hotel reviews,brand,/
kauai shores hotel kapaa,brand,/
kauai shores hotel address,brand,/
kauai shores hotel check in,brand,/
kauai shores hotel amenities,brand,/
kauai shores hotel parking,brand,/
kauai shores hotel pool,brand,/
kauai shores hotel pet policy,brand,/
kauai shores hotel breakfast,brand,/
kauai shores hotel restaurant,brand,/dining
kauai shores hotel dining,brand,/dining
kauai shores hotel deals,brand,/specials
kauai shores hotel specials,brand,/specials
kauai shores hotel promo code,brand,/specials
kauai shores hotel rooms,brand,/rooms
kauai shores hotel room types,brand,/rooms
kauai shores hotel ocean view,brand,/rooms
kauai shores hotel suites,brand,/rooms
kauai shores aqua aston,brand,/
aqua kauai shores,brand,/
kauai shores hotel phone,brand,/
kauai shores hotel rates,brand,/specials
kauai shores hotel discount,brand,/specials
kauai shores hotel booking,brand,/
kauai oceanfront hotel,nonbrand,/
kauai hotels kapaa,nonbrand,/
best hotels in kauai,nonbrand,/
kauai beach hotels,nonbrand,/
budget hotels kauai,nonbrand,/
kauai family hotels,nonbrand,/
mid range hotels kauai,nonbrand,/
kauai east side hotels,nonbrand,/
kauai hotel near airport,nonbrand,/
kauai hotel with pool,nonbrand,/
best kauai hotel dining,nonbrand,/dining
hotels in kauai with restaurant,nonbrand,/dining
kauai hotel breakfast,nonbrand,/dining
best hotel restaurant kauai,nonbrand,/dining
kauai hotel deals,nonbrand,/specials
cheap kauai hotel deals,nonbrand,/specials
kauai hotel discounts,nonbrand,/specials
kauai hotel packages,nonbrand,/specials
kauai hotel room types,nonbrand,/rooms
kauai hotel ocean view rooms,nonbrand,/rooms
kauai hotel suite,nonbrand,/rooms
kauai hotel family room,nonbrand,/rooms
kauai hotel king room,nonbrand,/rooms
kauai hotel two queen,nonbrand,/rooms
hotels kapaa kauai,nonbrand,/
